name,value
"Sulawesi Tenggara",-17.92
Bengkulu,-15.76
Banten,-18.16
"Kalimantan Selatan",-23.28
"Sulawesi Barat",-18.33
"Maluku Utara",-2.13
"Kalimantan Barat",-16.56
Gorontalo,-16.9
Lampung,-10.04
Riau,-18.13
"Sumatera Barat",-21.07
Maluku,-2.41
"Sulawesi Selatan",0.0099999999999998
"Nusa Tenggara Barat",-40.4
"Papua Barat",-4.56
"Sulawesi Tengah",-19
"Jawa Timur",-9.14
"Jawa Tengah",-5.81
"Jawa Barat",-13.93
"Sumatera Utara",-21.71
Jambi,-15.37
"Bangka Belitung",-26.27
Bali,-22.65
Yogyakarta,-5.12
"Kalimantan Timur",-14.33
"Nangro Aceh Darussalam",-21.44
"Sumatera Selatan",-12.92
"Kalimantan Tengah",-11.88
Papua,-2.29
"Nusa Tenggara Timur",-14.52
"DKI Jakarta",-12.04
"Kepulauan Riau",-17.82
"Sulawesi Utara",-1.59
